LP_city,to_location,legs_outbound,from_location,local_price,outbound_departure_dt,local_ccy,inbound_departure_dt,destination_city,difference_from_median,destination_country,legs_inbound,local_median,origin_city,origin_market,Landing_Page_Link
Los Angles,KBP,2,LAX,702.25,2/16/20 18:25,USD,3/11/20 10:40,Kiev,-14,Ukraine,2,820.76,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/KBP/20200216/20200311?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=702&qp_prevProvider=DS_RDS_Standard
Los Angles,LHR,1,LAX,355.75,2/19/20 18:25,USD,2/27/20 10:40,London,-39,United Kingdom,1,587.53,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/LHR/20200219/20200227?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=355&qp_prevProvider=DS_RDS_Standard
Los Angles,BCN,2,LAX,327.47,5/13/20 9:15,USD,5/21/20 9:20,Barcelona,-30,Spain,2,467.36,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/BCN/20200513/20200521?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=327&qp_prevProvider=DS_RDS_Standard
Los Angles,VIE,2,LAX,297.58,12/6/19 17:30,USD,12/9/19 6:30,Vienna,-63,Austria,2,801.67,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/VIE/20191206/20191209?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=297&qp_prevProvider=DS_RDS_Standard
Los Angles,FLL,2,LAX,196.97,2/19/20 10:50,USD,2/26/20 6:00,Fort Lauderdale,-51,United States,2,403.33,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/FLL/20200219/20200226?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=196&qp_prevProvider=DS_RDS_Standard
Los Angles,HAV,2,LAX,201.91,1/28/20 11:15,USD,1/31/20 15:05,Havana,-46,Cuba,2,372.99,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/HAV/20200128/20200131?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=201&qp_prevProvider=DS_RDS_Standard
Los Angles,ORD,1,LAX,152.59,11/14/19 8:50,USD,11/17/19 15:15,Chicago,-39,United States,1,251.4,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/ORD/20191114/20191117?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=152&qp_prevProvider=DS_RDS_Standard
Los Angles,KOA,1,LAX,351.12,1/6/20 17:50,USD,1/17/20 14:20,Kona,-44,United States,1,631.41,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/KOA/20200106/20200117?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=351&qp_prevProvider=DS_RDS_Standard
Los Angles,AUS,1,LAX,120.6,1/23/20 8:59,USD,1/26/20 10:40,Austin,-66,United States,1,349.71,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/AUS/20200123/20200126?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=120&qp_prevProvider=DS_RDS_Standard
Los Angles,SYD,1,LAX,735.47,3/1/20 22:15,USD,3/8/20 10:25,Sydney,-17,Australia,1,886.76,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/SYD/20200301/20200308?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=735&qp_prevProvider=DS_RDS_Standard
Los Angles,OGG,1,LAX,337.08,6/22/20 17:30,USD,7/2/20 21:35,Kahului,-47,United States,1,636.8,Los Angeles,US,https://www.skyscanner.com/transport/flights/LAX/OGG/20200622/20200702?cabinclass=economy&adults=1&adultsv2=1&rtn=1&children=0&childrenv2=&infants=0&qp_prevCurrency=USD&qp_prevPrice=337&qp_prevProvider=DS_RDS_Standard
